"Regulating_agency","County","SystemID","System_Name","System_Type","Institution_type","Connections","Population","Inactivation_Date","Activity_date_from_tool","Date_combined","Receiving_Water_System","Receiving_System_ID","Receiving_System_Institution_Type","Issue_SWRCB","Issue_summary","Issue_capacity","Issue_quality","Issue_TMF","Issue_disaster","Issue_sustainability","Funding_Source","Consolidation_Type","Physical_or_Mangerial","Mandatory_or_voluntary","Story_link","long","lat","Data_source","Notes","Notes_Suzanne","Remove?","2016_proxydata_pop_con_type_county","Number_systems_involved","Unique_project","Consolidatedsystem_primary_source_combined","EPA_2021_source","Consolidatedsystem_primary_source_combinedFINAL","Receiving_2021_source","Receiving_2021_pop","Receiving_2021_systemtype","Distance(m)","Prox_ord","CES_Receiving_Polygon","DistNote","govcat_cons","govcat_rec"
"LPA59 - NEVADA COUNTY","NEVADA","CA2902376","CAMP AUGUSTA","NC","Private (other)",10,150,"9/4/19",NA,"19-Sep","Nevada Irrigation District","CA2910004","Irrigation District","None","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-121.0313527,39.3012015,"Both",NA,NA,"No","No","2","Yes","SWP",NA,"SWP","SW",17233,"Community water system",3348.252146,1,NA,NA,"Private ancillary","Special district"
NA,"TEHAMA","CA5200657","RIVERVIEW AVENUE ESTATES","C","IOU",17,45,"15-May",NA,"15-May","NORCAL WATER WORKS","CA5200657","IOU",NA,NA,NA,NA,NA,NA,NA,NA,"Managerial","Managerial","Voluntary",NA,NA,NA,"Additional cases","https://docs.cpuc.ca.gov/PublishedDocs/Published/G000/M154/K555/154555982.PDF.  Process for recievorship then started Summer 2020 with new owner.","No records of change in ECM, would need to email lpa.","No","Yes",NA,"Yes",NA,"GW","GW","GW",45,"Community water system",14.44679672,1,1,NA,"IOU","IOU"
"LPA88 - YUBA COUNTY","YUBA","CA5800807","AEROPINES","C","MHP",21,45,"8/21/20",NA,"20-Aug","NORTH YUBA WATER DISTRICT","CA5810006","Water District","TCR, E.coli periodically. Non-compliant well construction.","Multiple",1,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-121.639695,39.14312,"Both","Only TCR listed as issue in partnership data",NA,"No","No","2","Yes","GW",NA,"GW","SW",2772,"Community water system",28726.07694,40,NA,NA,"Private ancillary","Special district"
"LPA43 - Imperial County","IMPERIAL","CA1300611","SHUEY SHELL CANYON WATER CO.","NC","Private (other)",19,25,"3/28/17",NA,"17-Mar","Ocotillo Mutual Water Company","CA1300513","MWC","water outage","Capacity",0,0,0,1,0,"SWRCB","Voluntary Consolidation","Physical","Voluntary",NA,-115.994552,32.737041,"Both",NA,NA,"No","No","2","Yes",NA,NA,"GW","GW",150,"Community water system",NA,NA,NA,NA,"Private - type unknown","Nonprofit private"
"District 12 - Visalia","KERN","CA1510041","NORTH OF THE RIVER MWD","C","MWD",1,0,"3/9/17",NA,"17-Mar","Oildale MWC","CA1510015","MWC","None","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-119.031813,35.441807,"Both",NA,NA,"No","No","2","Yes","SWP",NA,"SWP","SWP",36726,"Community water system",74.63264935,1,NA,NA,"Special district","Nonprofit private"
"LPA70 - SAN LUIS OBISPO COUNTY","SAN LUIS OBISPO","CA4000512","BELLA VISTA MOBILE LODGE","C","MHP",84,200,"10/20/17",NA,"17-Oct","Paso Robles Beach Water Association","CA4010006","MWC","Arsenic","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-120.908411,35.451219,"Both","cayucos beach mutual water company is the same thing",NA,"No","No","2","Yes","GW",NA,"GW","SWP",2373,"Community water system",NA,NA,NA,NA,"Private ancillary","Nonprofit private"
"LPA66 - SAN BERNARDINO COUNTY","SAN BERNARDINO","CA3600125","HINKLEY ELEMENTARY SCHOOL","NTNC","School",1,527,NA,"19-Oct","19-Oct","PG & E PIPELINE OPERATION","CA3600192","Private (other)","None","None",0,0,0,0,0,"private","Voluntary Consolidation","Physical","Voluntary",NA,-117.0470437,34.8888772,"Tool",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",50,"Non-Transient non-community system",NA,NA,NA,NA,"Public ancillary","Private ancillary"
"District 11 - Merced","TUOLUMNE","CA5500157","USFS PINECREST REC AREA","NTNC","Federal",20,361,"9/18/18",NA,"18-Sep","Pinecrest Permittees Assn","CA5510004","PA","Total trihalomethanes","Quality",0,1,0,0,0,"private","Voluntary Consolidation","Physical","Voluntary",NA,-119.997221,38.19084,"Both",NA,NA,"No","No","2","Yes","SWP",NA,"SWP","SW",1253,"Community water system",NA,NA,NA,NA,"Public ancillary","Nonprofit private"
"LPA61 - PLACER COUNTY","PLACER","CA3103257","LDS RECREATION BALL PARK","NC","Private (other)",1,25,"12/5/18",NA,"18-Dec","Placer County Water Agency","CA3110025","Special Act District","Bacteriological","Quality",0,1,0,0,0,"private","Voluntary Consolidation","Physical","Voluntary",NA,-121.1672176,38.83324,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SW",83546,"Community water system",NA,NA,NA,NA,"Private ancillary","Special district"
"DISTRICT 02 - LASSEN","PLACER","CA3110033","Castle city mobile home park","C","MHP",201,280,"21-Sep",NA,"21-Sep","Placer County Water Agency","CA3110025","Special Act District",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary Consolidation","Physical","Voluntary",NA,NA,NA,"OTHER","I think is just too recent to be on list and will be added. Press release here: https://www.waterboards.ca.gov/press_room/press_releases/2021/pcwa-swb-joint-release-9.23.21-FINAL-pcwa.pdf","Yes, will be added to map next q","No","No","2","Yes","SWP","SWP","SWP","SW",83546,"Community water system",111.1440107,2,1,NA,"Private ancillary","Special district"
"District 19 - Tehachapi","KERN","CA1502724","QUAIL VALLEY WATER DIST-EASTSIDE SYSTEM","C","Water District",28,75,"9/1/18","Aug.2018","18-Sep","QVWD-West & East Combine Water System","CA1503226","Water District","Arsenic","Quality",0,1,0,0,0,"SWRCB","Voluntary Consolidation","Physical","Voluntary",NA,-118.3229383,35.17014162,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",207,"Community water system",1761.618932,4,NA,NA,"Special district","Special district"
"LPA64 - SACRAMENTO COUNTY","SACRAMENTO","CA3400359","HAMILTON STREET PARK","NC","Recreation and park district",4,100,"6/1/17",NA,"17-Jun","Sacramento Suburban Water District","CA3410001","County Water District","TCR","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-121.366305,38.653173,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SWP",184385,"Community water system",NA,NA,NA,NA,"Special district","Special district"
"DISTRICT 22- ANGELES","LOS ANGELES","CA1910141","RURBAN HOMES MUTUAL WATER CO.","C","MWC",304,1200,"9/24/19",NA,"19-Sep","San Gabriel Valley Water Co. -El Monte/Whittier","CA1910039","IOU","waterworks standard","TMF Capacity",0,0,1,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-118.004674,34.091739,"Both","I'm not entirely clear what ""waterworks standard"" means in the issue summary but I think TMF makes sense",NA,"No","No","2","Yes","GW",NA,"GW","GW",254000,"Community water system",84.33895787,2,NA,NA,"Nonprofit private","IOU"
"DISTRICT 17 - SANTA CLARA","SANTA CLARA","CA4300504","ARROWHEAD COOPERATIVE COMPANY","C","IOU",39,109,"8/26/19",NA,"19-Aug","San Jose Water Company","CA4310011","IOU","Monitoring & Reporting","TMF Capacity",0,0,1,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-122.0537117,37.2880083,"Both",NA,NA,"No","No","2","Yes","SWP",NA,"SWP","SW",1007514,"Community water system",164.1521582,2,NA,NA,"IOU","IOU"
"DISTRICT 05 - MONTEREY","SANTA CRUZ","CA4410015","SLVWD-LOMPICO","C","County Water District",500,0,"8/23/18",NA,"18-Aug","San Lorenzo Valley Water District","CA4410014","County Water District","historic HAA5 violations & source capacity issues","Multiple",1,1,0,0,0,"SWRCB-drought intertie","Voluntary Consolidation","Physical","Voluntary",NA,-122.0479782,37.1112697,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SW",21145,"Community water system",992.374322,2,NA,NA,"Special district","Special district"
"LPA70 - SAN LUIS OBISPO COUNTY","SAN LUIS OBISPO","CA4000726","TANK FARM INDUSTRIAL PLAZA","NTNC","Private (other)",1,35,"9/20/20",NA,"20-Sep","SAN LUIS OBISPO WATER DEPT","CA4010009","City","PFAS, TCE","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-120.645319,35.245819,"Both","Water partnerships tool data says none for issues",NA,"No","No","3","SLOindustrial","GW",NA,"GW","SW",45920,"Community water system",297.1578983,2,NA,NA,"Private ancillary","General purpose government"
"LPA70 - SAN LUIS OBISPO COUNTY","SAN LUIS OBISPO","CA4000728","WHITSON INDUSTRIAL PARK","NTNC","Private (other)",1,75,"9/24/20",NA,"20-Sep","SAN LUIS OBISPO WATER DEPT","CA4010009","City","PFAS, TCE","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-120.664865,35.245778,"Both","Water partnerships tool data says none for issues",NA,"No","No","3","SLOindustrial","GW",NA,"GW","SW",45920,"Community water system",400.2117127,1,NA,NA,"Private ancillary","General purpose government"
"LPA70 - SAN LUIS OBISPO COUNTY","SAN LUIS OBISPO","CA4000711","SAN LUIS BUSINESS PARK","NTNC","Private (other)",1,500,"5/19/21",NA,"21-May","SAN LUIS OBISPO WATER DEPT","CA4010009","City","NONE","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-120.676328,35.241613,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SW",45920,"Community water system",35.09123964,1,NA,NA,"Private ancillary","General purpose government"
"DISTRICT 08 - SANTA ANA","ORANGE","CA3000852","RANCHO MISSION VIEJO","C","Private (other)",17,25,"1/6/20",NA,"20-Jan","SANTA MARGARITA WATER DISTRICT","CA3010101","Water District","Nitrate","Quality",0,1,0,0,0,"Self-funded","Voluntary Consolidation","Physical","Voluntary",NA,-117.6260983,33.5212917,"Both","Issues in state partnerships tool is ""none""",NA,"No","No","2","Yes","GW",NA,"GW","SWP",161264,"Community water system",NA,NA,NA,NA,"Private ancillary","Special district"
"LPA72 - SANTA BARBARA COUNTY","SANTA BARBARA","CA4200959","CENTRAL CITY COOLING","NTNC","Private (other)",3,40,"1/10/20",NA,"20-Jan","SANTA MARIA WATER DEPARTMENT","CA4210011","City","Nitrate","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-120.3989842,34.9251593,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SWP",107407,"Community water system",1732.861841,1,NA,NA,"Private ancillary","General purpose government"
"LPA46 - KINGS COUNTY","KINGS","CA1600008","CENTRAL UNION ELEMENTARY","NTNC","School",10,320,"4/2/21",NA,"21-Apr","Santa Rosa Rancheria water system (Tachi Yokut Tribe)","90600148","Tribal","ARSENIC","Quality",0,1,0,0,0,"Other","Voluntary Consolidation","Physical","Voluntary","http://p2cdn4static.sharpschool.com/UserFiles/Servers/Server_4550549/File/SchoolBoard/Minutes/2020-21/011121%20Minutes%20Packet.pdf",-119.780279,36.243371,"Both","In partnership tool data the funding source is listed as private",NA,"No","No","2","Yes","GW",NA,"GW",NA,NA,NA,NA,NA,NA,NA,"Public ancillary","Tribal"
"LPA64 - SACRAMENTO COUNTY","SACRAMENTO","CA3400412","SACRAMENTO SIKH SOCIETY","NC","Private (other)",2,300,"1/31/21",NA,"21-Jan","SCWA LAGUNA/VINEYARD","CA3410029","Special Act District","NONE","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-121.335344,38.479502,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SW",172666,"Community water system",442.4884235,1,NA,NA,"Private ancillary","Special district"
"DISTRICT 18 - SONOMA","SONOMA","CA4900676","SEQUOIA GARDENS MOBILE HOME PARK","C","MHP",192,300,NA,"16-Aug","16-Aug","SEBASTOPOL, CITY OF","CA4910011","City","Arsenic","Quality",0,1,0,0,0,"SWRCB","Regionalization","Physical","Voluntary","https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/city_of_santa_rosa.pdf",-122.772047,38.444094,"Tool",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",7786,"Community water system",5216.770365,27,NA,NA,"Private ancillary","General purpose government"
"DISTRICT 24 - TULARE","TULARE","CA5402039","SEVILLE FOOD MART","NC","Private (other)",2,100,"10/18/21",NA,"21-Oct","SEVILLE WATER CO","CA5400550","CSD","NONE","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,NA,NA,"Excel Dec 2021 update","2020 CSD took over ownership of system from BOS",NA,"No","No","2","Yes","GW",NA,"GW","GW",691,"Community water system",0,1,1,NA,"Private ancillary","Special district"
"DISTRICT 02 - LASSEN","SHASTA","CA4500001","SHASTA CSA - KESWICK, #25","C","CSA",87,208,"11/22/19",NA,"19-Nov","Shasta CSD","CA4510013","CSD","Carr Fire Impacts","Disaster",0,0,0,1,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-122.3958892,40.5806173,"Both","Excel data says managerial consolidaiton I'm not sure still but the systems are physically close to eachother and their website doesn't seem to indicate any separation between the two systems so leaving at physical for now",NA,"No","No","2","Yes","SW",NA,"SW","SW",1584,"Community water system",3139.324021,3,NA,"3","General purpose government","Special district"
"DISTRICT 18 - SONOMA","SONOMA","CA4901195","MOORLAND AVENUE APARTMENTS","C","Private (other)",4,64,NA,"16-Aug","16-Aug","SONOMA COUNTY CSA 41-FITCH MOUNTAIN","CA4910010","CSA","Arsenic","Quality",0,1,0,0,0,"SWRCB","Regionalization","Physical","Voluntary","https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/city_of_santa_rosa.pdf",-122.716746,38.399821,"Tool",NA,NA,"No","No","2","Yes","GW",NA,"GW","GWP",1115,"Community water system",NA,NA,NA,"Not in top 50","Private ancillary","General purpose government"
"DISTRICT 18 - SONOMA","SONOMA","CA4910202","SONOMA DEVELOPMENTAL CENTER","C","State",71,123,"10/1/19",NA,"19-Oct","Sonoma County Water Agency","CA4910020","Special Act District","disinfection byproducts, HAA5","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-122.5192313,38.347162,"Both","Excel data said disinfection byproduct for issue whereas partnership tool data said HAA5. Also excel data listed existing intertie for the funding mechanism",NA,"No","No","2","Yes","SW",NA,"SW","GW",0,"Community water system",NA,NA,NA,NA,"Public ancillary","Special district"
"DISTRICT 18 - SONOMA","SONOMA","CA4900855","WEST FIELD COMMUNITY","C","MHP",29,75,NA,"16-Aug","16-Aug","SONOMA, CITY OF","CA4910012","City","Arsenic","Quality",0,1,0,0,0,"SWRCB","Regionalization","Physical","Voluntary","https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/city_of_santa_rosa.pdf",-122.714815,38.39102,"Tool",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",11923,"Community water system",NA,NA,NA,"Not in top 50","Private ancillary","General purpose government"
"DISTRICT 08 - SANTA ANA","ORANGE","CA3010055","SOUTH COAST WD - CAPISTRANO BEACH","C","County Water District",5570,17503,"8/20/19",NA,"19-Aug","South Coast Water District","CA3010042","County Water District","Reduce Administrative Cost/Administrative burden","Sustainability",0,0,0,0,1,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-117.7413505,33.5059068,"Both",NA,NA,"No","No","2","Yes","SWP",NA,"SWP","SWP",34232,"Community water system",NA,NA,NA,NA,"Special district","Special district"
"LPA39- El Dorado County","EL DORADO","CA0900636","TRUCKEE CREEK COTTAGES","NC","Private (other)",30,6,"8/9/17",NA,"17-Aug","South Tahoe PUD","CA0910002","PUD","Coliform","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-119.9949282,38.9222135,"Both","Rather than Coliform as the issue the yearly excel sheet has ""none"" listed",NA,"No","No","2","Yes","GW",NA,"GW","GW",121124,"Community water system",NA,NA,NA,NA,"Private ancillary","Special district"
"LPA39- El Dorado County","EL DORADO","CA0900548","MARK TWAIN MOTEL","NC","Private (other)",21,25,"8/9/17",NA,"17-Aug","LAKESIDE PARK ASSOCIATION","CA0910019","PA","None","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-119.9463988,38.9565733,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SW",1554,"Community water system",139.5088374,1,1,NA,"Private ancillary","Nonprofit private"
"LPA39- El Dorado County","EL DORADO","CA0900555","MATTERHORN INN","C","Private (other)",2,40,"11/27/17",NA,"17-Nov","South Tahoe PUD","CA0910002","PUD","None","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-119.99845,38.917605,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",121124,"Community water system",33.66398549,2,1,NA,"Private ancillary","Special district"
"LPA39- El Dorado County","EL DORADO","CA0900586","A & A LAKE TAHOE INN","NC","Private (other)",2,25,"10/16/18",NA,"18-Oct","South Tahoe PUD","CA0910002","PUD","Bacteriological","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-119.963042,38.946206,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",121124,"Community water system",NA,NA,NA,NA,"Private ancillary","Special district"
"LPA39- El Dorado County","EL DORADO","CA0900666","SIESTA ARMS APARTMENTS","SSWS","Private (other)",1,21,"10/23/18",NA,"18-Oct","South Tahoe PUD","CA0910002","PUD","None","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-119.9609658,38.9438742,"Both","excel data said NP as system type",NA,"No","No","2","Yes",NA,NA,"GW","GW",121124,"Community water system",NA,NA,NA,NA,"Private ancillary","Special district"
"LPA39- El Dorado County","EL DORADO","CA0900673","DRIFTWOOD APTS.","C","Private (other)",1,40,"11/6/18",NA,"18-Nov","South Tahoe PUD","CA0910002","PUD","Uranium, gross alpha","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-119.94738,38.951032,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",121124,"Community water system",NA,NA,NA,NA,"Private ancillary","Special district"
"LPA39- El Dorado County","EL DORADO","CA0900646","AL TAHOE ELEM/STMS (WATER SYS)","NTNC","School",6,1300,"9/30/20","Sep.2020","20-Sep","South Tahoe PUD","CA0910002","PUD","1,2,3-TCP; Nitrate; RTCR; Monitoring & Reporting","Multiple",0,1,1,0,0,"DWR grant","Voluntary Consolidation","Physical","Voluntary",NA,-119.9752658,38.9347737,"Both","Shows up twice in excel in 2019 and 2020, issues listed in the 2019 and 2020 listings (but are different, addd all here) listed as none for issues in partnership data. Sep 2020 date retained since it matches partnership data. G",NA,"No","No","2","Yes","GW",NA,"GW","GW",121124,"Community water system",NA,NA,NA,NA,"Public ancillary","Special district"
"LPA39- El Dorado County","EL DORADO","CA0900579","MIDWAY INN","NC","Private (other)",2,40,"10/30/20",NA,"20-Oct","South Tahoe PUD - Main","CA0910002","PUD","Arsenic, Management issues, failure to sample, TCR","Multiple",0,1,1,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-119.9483818,38.9518667,"Both","Shows up in 2019 and 2020 excel, in 2019 lists TCR issues and in partnership tool that is also what is listed. Other issues come from 2019 sheet.",NA,"No","No","2","Yes","GW",NA,"GW","GW",121124,"Community water system",0,1,1,NA,"Private ancillary","Special district"
"LPA39 - EL DORADO COUNTY","EL DORADO","CA0900581","NATIONAL 9","NC","Private (other)",2,63,"10/15/21",NA,"21-Oct","SOUTH TAHOE PUD - MAIN","CA0910002","PUD","LACK OF SECONDARY WATER SOURCE","Sustainability",0,0,0,0,1,"Private","Voluntary Consolidation","Physical","Voluntary",NA,NA,NA,"Excel Dec 2021 update",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",121124,"Community water system",0,1,NA,"Not in top 25 of CES set (up to 13,000 meters)","Private ancillary","Special district"
"LPA58 - NAPA COUNTY","NAPA","CA2801045","ST. CLEMENT VINEYARDS INC.","NC","Private (other)",1,100,"9/16/19",NA,"19-Sep","St. Helena, City of","CA2810004","City","bacteriological, monitoring","Multiple",0,1,1,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-122.410826,38.487184,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SW",6152,"Community water system",2770.124538,4,NA,"3","Private ancillary","General purpose government"
"LPA61 - PLACER COUNTY","PLACER","CA3100029","Timberland tract water company","C","IOU",127,200,NA,"2-Jan-18","18-Jan","Tahoe City PUD","CA3100029","PUD",NA,NA,NA,NA,NA,NA,NA,NA,"Managerial","Managerial","Voluntary",NA,NA,NA,"Inst. diversity paper","This I found in my own research for CWS paper, acquired by PUD in 2018. System ID number doesn't change","No records of change in ECM, would need to email LPA","No","No",NA,"Yes","GW","GW","GW","GW",200,"Community water system",NA,NA,NA,NA,"IOU","Special district"
NA,"PLACER","CA3110043","MADDEN CREEK WATER COMPANY","C","MWC",166,300,"18-Jan",NA,"18-Jan","TAHOE CITY PUD - MADDEN CREEK","CA3110043","PUD",NA,NA,NA,NA,NA,NA,NA,NA,"Managerial","Managerial","Voluntary",NA,NA,NA,"Additional cases","https://www.tcpud.org/maddencreek","Maybe this should be physical not mangerial, but there is no inactive Madden Creek WC, so it seems like that's what happened (not in ECM docs)","No","Yes",NA,"Yes",NA,"GW","GW","GW",300,"Community water system",7878.382797,14,NA,NA,"Nonprofit private","Special district"
NA,"PLACER","CA3110013","TAHOE CEDARS WATER COMPANY","C","IOU",1161,2775,NA,NA,"18-Jan","TAHOE CITY PUD - TAHOE CEDARS","CA3110013","PUD",NA,NA,NA,NA,NA,NA,NA,NA,"Managerial","Managerial","Voluntary",NA,NA,NA,"Additional cases","https://www.tcpud.org/sites/default/files/documents/Water/Tahoe%20Cedars%20CCR%202017%20(FINAL).pdf","No records of change in ECM, would need to email district","No","Yes",NA,"Yes",NA,"GW","GW","GW",793,"Community water system",NA,NA,NA,NA,"IOU","Special district"
"DISTRICT 18 - SONOMA","SONOMA","CA4901311","MARK WEST NEIGHBORHOOD CHURCH","NC","Private (other)",3,60,"10/18/18",NA,"18-Oct","Town of Windsor","CA4910017","City","E. coli in source","Quality",0,1,0,0,0,"private","Voluntary Consolidation","Physical","Voluntary",NA,-122.778232,38.523685,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",28397,"Community water system",NA,NA,NA,NA,"Private ancillary","General purpose government"
"District 09- Sacramento","NEVADA","CA2905004","CALTRANS - DONNER PASS VIS","NTNC","State",1,125,"9/28/18",NA,"18-Sep","Truckee Donner PUD","CA2910003","PUD","None","None",0,0,0,0,0,"Cal-Trans","Voluntary Consolidation","Physical","Voluntary",NA,-120.13248,39.362281,"Both","Changed system type to match partnership tool. Was NC in excel",NA,"No","No","2","Yes","GW",NA,"GW","GW",36730,"Community water system",NA,NA,NA,NA,"Public ancillary","Special district"
"District 19 - Tehachapi","KERN","CA1502664","STONYBROOK CORPORATION - LA PAZ","NTNC","Private (other)",36,1,"1/19/18",NA,"18-Jan","UP-Keene Water System","CA1500371","IOU","Bacteriological","Quality",0,1,0,0,0,"private","Voluntary Consolidation","Physical","Voluntary",NA,-118.559778,35.229808,"Both",NA,NA,"No","No","2","Yes","GWP",NA,"GWP","GWP",208,"Community water system",NA,NA,NA,NA,"Private ancillary","IOU"
"District 23 - Fresno","FRESNO","CA1000285","WASHINGTON COLONY SCHOOL","NTNC","School",12,550,"6/28/19",NA,"19-Jun","East Authority JPA","CA1000221","JPA","Gross Alpha, 123-TCP","Quality",0,1,0,0,0,"SWRCB","Voluntary Consolidation","Physical","Voluntary","https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/easton_jpa.pdf",-119.7885131,36.649475,"Both","Web tool partnership data says none for issues but year downloaded sheets list gross alpha and 123TCP",NA,"No","No","2","Yes","GW",NA,"GW","GW",1000,"Non-Transient non-community system",231.371916,5,NA,"Delt with name issue - they switched when they consolidated","Public ancillary","Special district"
"LPA56 - MONO COUNTY","MONO","CA2600633","WHITMORE POOL","NC","City",1,50,"3/13/19",NA,"19-Mar","Whitmore Ballfields","CA2600540","City","Bacteriological","Quality",0,1,0,0,0,"SWRCB","Voluntary Consolidation","Physical","Voluntary",NA,-118.81187,37.630097,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",30,"Transient non-community system",NA,NA,NA,NA,"Public ancillary","Public ancillary"
"DISTRICT 18 - SONOMA","SONOMA","CA4901387","SONOMA CUTRER","NC","Private (other)",4,40,"1/8/21",NA,"21-Jan","WINDSOR, TOWN OF","CA4910017","City","NONE","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-122.832536,38.498683,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",28397,"Community water system",3198.658065,10,NA,NA,"Private ancillary","General purpose government"
"District 11 - Merced","MARIPOSA","CA2210518","YOSEMITE NPS - VERNAL FALLS","NC","Federal",2,3000,"7/17/18",NA,"18-Jul","YNP - Yosemite Valley","CA2210503","Federal","None","None",0,0,0,0,0,"private","Voluntary Consolidation","Physical","Voluntary",NA,-119.3679494,37.86923614,"Both","System type in yearly excel sheets listed at TNC",NA,"No","No","2","Yes","SW",NA,"SW","GW",1000,"Community water system",21445.89801,2,NA,NA,"Public ancillary","Public ancillary"
