PWS ID,PWS Name,PWS Type,Population Served Count,# of Facilities,# of Violations,# of Site Visits,Primary Source,Primary Source Code,Address Line1,Address Line2,Counties Served
CA2100557,AUDUBON CANYON RANCH - MGP PICHER,Transient non-community system,50,3,26,5,Ground water,GW,4900 SHORELINE HIGHWAY 1,,Marin
CA2100564,AUDUBON CANYON RANCH - MGP VOLUNTEER,Transient non-community system,50,3,25,5,Groundwater under influence of surface water,GU,4900 SHORELINE HIGHWAY 1,,Marin
CA5200585,MINERAL HOMEOWNER'S ASSN,Transient non-community system,56,2,5,8,Ground water,GW,25805 Moller Ave,,Tehama
CA3110012,AGATE BAY WATER COMPANY,Community water system,"2,500",5,45,8,Surface water,SW,PO Box 444,,Placer
CA2800561,FREEMARK ABBEY WINERY,Non-Transient non-community system,"1,000",7,10,14,Ground water,GW,425 Aviation Blvd,,Napa
CA3200058,CROMBERG SPRING WATER ASSN,Transient non-community system,25,2,18,2,Ground water,GW,149 E Sierra St.,,Plumas
CA1910012,BELLFLOWER HOME GARDEN WATER COMPANY,Community water system,"1,129",8,2,22,Surface water purchased,SWP,8734 Rose Street,,Los Angeles
CA2800562,TPWC DBA THE PRISONER WINE COMPANY,Non-Transient non-community system,200,4,3,20,Ground water,GW,1178 GALLLERON RD,,Napa
CA2300515,MENDOCINO COAST BOTANICAL GARDENS,Transient non-community system,150,3,0,1,Ground water,GW,18220 North Highway 1,,Mendocino
CA3301183,ELIM FOOLISH PLEASURE,Transient non-community system,80,2,1,1,Ground water,GW,48480 foolish pleasure,,Riverside
CA2300516,NORCAL GASOLINE,Transient non-community system,25,2,0,0,Ground water,GW,18770 N. Highway 1,,Mendocino
CA2300789,THE LAND,Transient non-community system,50,7,2,2,Ground water,GW,P.O. Box 43,,Mendocino
CA0310001,CITY OF JACKSON,Community water system,"4,686",4,6,19,Surface water purchased,SWP,33 Broadway,,Amador
CA2210943,MARIPOSA INDUSTRIAL PARK WATER COMPANY,Non-Transient non-community system,25,3,4,3,Ground water,GW,4988 Gold Leaf Drive,,Mariposa
CA5010006,CITY OF WATERFORD,Community water system,"8,788",13,6,20,Ground water,GW,101 E Street,,Stanislaus
CA5010026,WATERFORD - HICKMAN,Community water system,597,6,4,18,Ground water,GW,101 E Street,,Stanislaus
CA5010042,WATERFORD-RIVER POINTE,Community water system,"1,079",5,0,7,Ground water,GW,101 E Street,,Stanislaus
CA5010014,"OAKDALE, CITY OF",Community water system,"22,348",11,9,20,Ground water,GW,455 South Fifth Ave,,Stanislaus
CA2300970,THE MADRONES,Transient non-community system,91,2,0,1,Ground water,GW,P.O. Box 30,,Mendocino
CA4900905,MARK WEST MEADOWS MUTUAL WATER,Community water system,25,4,6,4,Ground water,GW,5399 BLUE RIDGE TRAIL,,Sonoma
CA5200255,CORNING RV PARK,Community water system,112,2,0,6,Ground water,GW,5648 Belleview Ave,,Tehama
CA1910092,"MONTEREY PARK-CITY, WATER DEPT.",Community water system,"62,183",51,1,47,Ground water,GW,320 W. NEWMARK AVENUE,,Los Angeles
CA5301105,PINEWOOD COVE RESORT,Transient non-community system,230,3,0,9,Ground water,GW,"Pinewood Cove Resort, 45110 CA HWY 3",,Trinity
CA4910009,"SANTA ROSA, CITY OF",Community water system,"173,648",17,0,11,Ground water,GW,35 STONY POINT RD,,Sonoma
CA3901315,GAF MATERIALS CO,Non-Transient non-community system,30,4,22,44,Ground water,GW,3301 N NAVONE RD,,San Joaquin
CA3901369,BASALITE - TRACY,Non-Transient non-community system,25,2,14,36,Ground water,GW,605 INDUSTRIAL WAY,,San Joaquin
CA2300852,FETZER VINEYARDS,Non-Transient non-community system,128,5,3,3,Ground water,GW,12901 Old River Road,,Mendocino
CA2000607,SPRING VALLEY SCHOOL,Non-Transient non-community system,150,16,1,10,Ground water,GW,PO BOX 400,,Madera
CA2801076,CAYMUS VINEYARDS,Non-Transient non-community system,42,4,6,12,Ground water,GW,2658 CORDELIA ROAD,,Napa
CA5403001,LOWER SPRINGS WATER CO,Transient non-community system,179,3,5,9,Ground water,GW,45220 Hammond Dr.,,Tulare
CA4901066,"FORT ROSS LODGE, LLC",Transient non-community system,33,3,3,2,Ground water,GW,1011 Usener Street,,Sonoma
CA3600453,APPLE VALLEY HORSEMAN CENTER,Transient non-community system,25,2,0,32,Ground water,GW,14955 DALE EVANS PARKWAY,,San Bernardino
CA5403204,FOUR STAR FRUIT,Non-Transient non-community system,80,6,8,3,Ground water,GW,2800 ROAD 136,,Tulare
CA4900739,DUNHAM SCHOOL,Non-Transient non-community system,200,3,8,5,Ground water,GW,4111 Roblar Road,,Sonoma
CA3901478,MOOSE OUTDOOR SPORTSMAN CLUB,Transient non-community system,25,3,1,13,Ground water,GW,3824 E WOODBRIDGE RD,,San Joaquin
CA3200509,CLIO PUBLIC UTILITY DISTRICT,Community water system,79,6,15,11,Ground water,GW,CLIO PUD,P.O. Box 6,Plumas
CA4700577,BIG SPRINGS UNION ELEM. SCHOOL,Non-Transient non-community system,95,5,2,9,Ground water,GW,7405 Hwy A-12,,Siskiyou
CA3901391,MCHENRY AVE RECREATION AREA,Transient non-community system,25,3,3,36,Ground water,GW,17968 COVERED BRIDGE RD,,San Joaquin
CA3900831,ARBOR MOBILE HOME PARK WS,Community water system,340,7,16,24,Ground water,GW,17300 Red Hill Ave. #280,,San Joaquin
CA3710045,POSEIDON RESOURCES - CDP,Community water system,0,7,0,3,Surface water,SW,"5780 Fleet Street, Suite 140",,San Diego
CA5200626,REYNOLDS CONSUMER PRODUCTS  (RED BLUFF),Non-Transient non-community system,150,5,3,2,Ground water,GW,1000 Diamond Ave,,Tehama
CA5200616,RANCHO TEHAMA ASSOCIATION,Transient non-community system,25,2,3,10,Ground water,GW,PO BOX 5111,,Tehama
CA1910213,"TORRANCE-CITY, WATER DEPT.",Community water system,"108,649",25,25,33,Surface water purchased,SWP,20500 MADRONA AVE,,Los Angeles
CA2800554,GENE NORRIS PLAZA,Transient non-community system,100,2,5,14,Ground water,GW,706 TRANCAS ST.,,Napa
CA5200559,ABBEY OF NEW CLAIRVAUX,Community water system,25,5,18,14,Ground water,GW,26240 7th Street,,Tehama
CA4100522,REDWOOD GLEN CAMP & CONFERENCE CTR,Community water system,169,13,25,45,Surface water,SW,100 Wright Drive,,San Mateo
CA3902182,GURDWARA GURMAT PARKASH MANTECA WS,Transient non-community system,25,2,2,6,Ground water,GW,4640 E WOODWARD AVE,,San Joaquin
CA3901280,HORIZON CHRISTIAN FELLOWSHIP,Transient non-community system,"1,000",3,18,53,Ground water,GW,10702 LOWER SACRAMENTO RD,,San Joaquin
CA5403148,COURAGE TO CHANGE,Non-Transient non-community system,92,2,1,2,Ground water,GW,1230 N. ANDERSON RD.,,Tulare
CA5403042,CALIFORNIA DAIRIES INC TIPTON,Non-Transient non-community system,130,6,1,6,Ground water,GW,11894 AVE 120,,Tulare
CA0202543,INDIAN CREEK RES. CG (BLM),Transient non-community system,30,2,0,3,Ground water,GW,5665 Morgan Mill Road,,Alpine
CA3301182,BELK FARMS,Transient non-community system,56,2,0,2,Ground water,GW,57800 DESERT CACTUS DR,,Riverside
CA3600536,CAMP LA VERNE,Transient non-community system,25,2,25,32,Ground water,GW,P.O. Box 355,,San Bernardino
CA4000640,CAL SHASTA CLUB,Transient non-community system,240,14,3,6,Ground water,GW,3475 Sunrise Ridge Road,,San Luis Obispo
CA3600400,APPLE VALLEY VILLAGE MHE,Community water system,180,3,3,43,Ground water,GW,22880 Savi Ranch Pkwy,,San Bernardino
CA2700586,GABILAN WC,Community water system,535,7,24,11,Ground water,GW,1628 N. MAIN #295,,Monterey
CA0202506,CAPLES LAKE RESORT,Transient non-community system,25,2,3,4,Ground water,GW,PO Box 8,,Alpine
CA1100257,CALTRANS-WILLOWS RESTSTOP-NB,Transient non-community system,"7,500",3,5,13,Ground water,GW,939 North Humboldt Avenue,,Glenn
CA1100258,CALTRANS-WILLOWS RESTSTOP-SB,Transient non-community system,"7,500",5,5,14,Ground water,GW,939 North Humboldt Avenue,,Glenn
CA0600050,CALTRANS-MAXWELL RESTSTOPS,Transient non-community system,"15,000",3,1,6,Ground water,GW,939 North Humboldt Avenue,,Colusa
CA4900722,URJ CAMP NEWMAN,Transient non-community system,700,10,5,7,Groundwater under influence of surface water,GU,4088 Porter Creek Road,,Sonoma
CA0300043,OK CORRAL,Transient non-community system,25,2,14,15,Ground water,GW,P.O. Box 833,,Amador
CA3600365,RIVERLAND RESORT,Transient non-community system,"1,000",5,5,32,Surface water,SW,1601 Carmen Dr.,Suite 100,San Bernardino
CA5700618,BERRYESSA BREWING COMPANY,Transient non-community system,300,4,6,0,Ground water,GW,PO BOX 605,,Yolo
CA1510011,BUTTONWILLOW CWD,Community water system,"1,508",8,10,11,Ground water,GW,P.O. BOX 274,,Kern
CA4700573,CALTRANS-DUNSMUIR GRADE INSP. FACILITY,Non-Transient non-community system,200,5,2,7,Ground water,GW,1490 George St.,,Siskiyou
CA2701740,BLUFFS WS,Community water system,120,5,6,11,Ground water,GW,,14134 RESERVATION RD,Monterey
CA4500015,"SHASTA CSA - CASTELLA, #3",Community water system,252,3,30,11,Surface water,SW,1855 Placer St.,,Shasta
CA4500028,"SHASTA CSA - CRAGVIEW, #23",Community water system,218,3,31,11,Surface water,SW,1855 Placer St.,,Shasta
CA4500317,"SHASTA CSA - FRENCH GULCH, #11",Community water system,277,3,9,9,Surface water,SW,1855 Placer St.,,Shasta
CA4510004,"SHASTA CSA - JONES VALLEY, #6",Community water system,"1,119",3,5,16,Surface water,SW,1855 Placer St.,,Shasta
CA4500006,"SHASTA CSA - SUGARLOAF, #2",Community water system,160,11,34,11,Surface water,SW,1855 Placer St.,,Shasta
CA2701822,ROBLEY PROPERTY MWS,Community water system,92,3,10,9,Ground water,GW,,25307 CAMINO DE CHAMISAL,Monterey
CA2700612,LAGUNA SECA WC,Community water system,162,5,42,11,Ground water,GW,,22 SECA PLACE,Monterey
CA4500102,NORTH REDDING RV VILLAGE,Community water system,78,7,5,12,Ground water,GW,PO Box 200,,Shasta
CA5000071,TWIN CYPRESS MOBILE HOME PARK,Community water system,112,3,6,16,Ground water,GW,PO Box 200,,Stanislaus
CA0400106,RIVER ONE RV PARK,Transient non-community system,26,2,0,6,Ground water,GW,PO Box 200,,Butte
CA3610024,HESPERIA WD,Community water system,"97,846",47,3,13,Ground water,GW,9700 SEVENTH AVE,,San Bernardino
CA4900901,SOBRE VISTA WATER COMPANY,Community water system,80,8,11,3,Ground water,GW,1707 Sobre Vista Road,,Sonoma
CA1910019,"CERRITOS - CITY, WATER DEPT.",Community water system,"49,041",8,0,13,Surface water purchased,SWP,18125 Bloomfield Avenue,,Los Angeles
CA3601155,SPECIALTY MINERALS INC,Non-Transient non-community system,50,6,4,31,Ground water,GW,6565 Meridian Road,,San Bernardino
CA5000058,FISHERMAN'S BEND MHP,Community water system,120,3,8,16,Ground water,GW,PO Box 54,,Stanislaus
CA4200814,JONATA HOMEOWNERS ASSOCIATION,Community water system,45,4,1,1,Ground water,GW,305 CAMINO SAN CARLOS,,Santa Barbara
CA0707625,MARATHON MARTINEZ WATER SYSTEM,Non-Transient non-community system,600,6,7,15,Ground water,GW,150 Solano Way,,Contra Costa
CA1000063,NEW AUBERRY WATER ASSOCIATION,Community water system,120,6,12,9,Ground water,GW,34624 Robles Road,,Fresno
CA1210004,"EUREKA, CITY OF",Community water system,"27,078",4,1,29,Ground water purchased,GWP,531 K ST.,,Humboldt
CA0900505,CAMP SHELLY,Transient non-community system,200,3,3,5,Ground water,GW,4444 EAST AVENUE,,El Dorado
CA5800006,YES CHARTER ACADEMY,Non-Transient non-community system,125,2,25,3,Ground water,GW,PO BOX 430,9841 TEXAS HILL ROAD,Yuba
CA2300730,WESTPORT COUNTY WATER DISTRICT,Community water system,369,6,40,14,Surface water,SW,PO Box 55,,Mendocino
CA4200907,HEALTH SANITATION SERVICES RECYCLING CTR,Non-Transient non-community system,50,3,6,10,Ground water,GW,1850 EAST BETTERAVIA ROAD,,Santa Barbara
CA5710011,WILD WINGS GOLF COMMUNITY,Community water system,"1,115",5,7,6,Ground water,GW,292 West Beamer Street,,Yolo
CA5700788,NORTH DAVIS MEADOWS,Community water system,314,9,16,7,Ground water,GW,292 West Beamer Street,,Yolo
CA4900843,SONOMA RANCH MUTUAL WATER COMPANY,Community water system,178,7,5,3,Ground water,GW,"500 Alfred Nobel Drive, Suite 250",,Sonoma
CA4010005,OCEANO COMM SERVICES DIST.,Community water system,"7,487",15,9,20,Surface water purchased,SWP,1655 Front Street,,San Luis Obispo
CA4901468,BRICOLEUR VINEYARDS,Transient non-community system,50,3,0,1,Ground water,GW,2269 Chestnut Street #450,,Sonoma
CA1503650,DIRTY BIRD H2O,Transient non-community system,25,2,0,3,Ground water,GW,"2420 MOHAWK ST., SUITE 200",,Kern
CA5400529,"SHADY GROVE  MHP, LLC",Community water system,95,2,23,9,Ground water,GW,P.O. BOX 1930,,Tulare
CA2702315,CORRAL DE TIERRA COUNTRY CLUB WS,Non-Transient non-community system,60,4,20,9,Ground water,GW,81 CORRAL DE TIERRA RD,,Monterey
CA5000019,RIVERDALE PARK TRACT CSD,Community water system,610,6,14,12,Ground water,GW,PO Box 580343,,Stanislaus
CA4200952,FOXEN VINEYARD INC.,Transient non-community system,60,4,0,4,Ground water,GW,7600 FOXEN CANYON ROAD,,Santa Barbara
CA5210801,CAL FIRE - SALT CREEK CONSERVATION CAMP,Non-Transient non-community system,50,10,3,10,Surface water,SW,P.O. Box 468,10655 Round Valley Road,Tehama
CA1000439,SOMMERVILLE ALMOND TREE OWNERS ASSN,Transient non-community system,500,3,0,8,Ground water,GW,P.O. Box 70248,,Fresno
CA5500092,PONDEROSA MOBILE HOME PARK,Community water system,52,5,6,11,Ground water,GW,21850 Belleview Road Space # 3,,Tuolumne
CA4901151,SCHUG CELLARS,Transient non-community system,25,3,4,3,Ground water,GW,602 Bonneau Road,,Sonoma
CA0405002,DWR-MONUMENT HILL RESTROOMS,Transient non-community system,593,2,1,3,Ground water,GW,460 Glen Drive,,Butte
CA4200865,RANCHO MARIA GOLF COURSE,Transient non-community system,"1,000",4,5,8,Ground water,GW,1950 HIGHWAY 1,,Santa Barbara
CA4200580,SAN MARCOS MUTUAL WATER COMPANY,Community water system,120,8,6,15,Surface water,SW,50 SAN MARCOS TROUT CLUB,,Santa Barbara
CA4200895,SHEPHERD OF THE VALLEY,Transient non-community system,320,3,6,8,Ground water,GW,P.O. BOX 417,,Santa Barbara
CA4901275,CORNERSTONE SONOMA,Transient non-community system,175,2,3,1,Ground water,GW,Cornerstone Sonoma,23570 Arnold Drive,Sonoma
CA1503392,FOUR TWENTY 420 CLUB,Transient non-community system,150,2,19,3,Ground water,GW,"3559 Allen Rd, Ste 107",,Kern
CA4200947,BETTER COOLING PRODUCE,Non-Transient non-community system,35,3,5,9,Ground water,GW,2780 TELEPHONE ROAD,,Santa Barbara
CA4200721,NAPLES,Community water system,67,10,2,23,Surface water,SW,PO BOX 1209,,Santa Barbara
CA1910006,SO. CAL. EDISON CO.-SANTA CATALINA,Community water system,"4,096",50,1,40,Surface water,SW,P.O. BOX 527,,Los Angeles
CA4810800,CALIFORNIA STATE PRISON - SOLANO,Community water system,"5,100",6,4,18,Surface water,SW,2100 PEABODY RD,,Solano
CA3310802,CHUCKAWALLA VALLEY STATE PRISON,Community water system,"6,507",11,9,7,Ground water,GW,P.O. BOX 2289,19025 WILEYS WELL RD. (92225),Riverside
CA3500930,BENITO VALLEY FARMS,Community water system,44,3,15,1,Ground water,GW,8100 Frazier Lake Rd,,San Benito
CA2900546,SIERRA FRIENDS CENTER,Community water system,125,3,32,10,Ground water,GW,13075 Woolman Lane,,Nevada
CA2900593,TWIN RIDGES OAK TREE SCHOOL,Non-Transient non-community system,120,3,12,11,Ground water,GW,16661 Old Mill Road,,Nevada
CA2900578,TWIN RIDGES GRIZZLY HILL SCHOOL,Non-Transient non-community system,125,7,10,18,Ground water,GW,16661 Old Mill Road,,Nevada
CA3107350,CIOTTI CELLARS,Transient non-community system,25,2,1,0,Ground water,GW,3285 CROSBY HEROLD RD,,Placer
CA5403140,MONARCH NUT CO,Non-Transient non-community system,400,8,25,5,Ground water,GW,786 ROAD 188,,Tulare
CA0910300,FOLSOM LAKE SRA - PENINSULA CAMPGROUND,Transient non-community system,751,6,6,6,Ground water,GW,7806 Folsom Auburn Blvd,,El Dorado
CA3410301,FOLSOM LAKE SRA - MISSISSIPPI BAR,Transient non-community system,150,2,4,8,Ground water,GW,7806 Folsom Auburn Blvd,,Sacramento
CA5601301,VENTURA BOYSCOUT COUNCIL,Transient non-community system,850,7,5,8,Ground water,GW,509 East Daily Drive,,Ventura
CA2702802,OASIS RD WS #2,Non-Transient non-community system,82,2,1,3,Ground water,GW,12001 SOUTH HIGHWAY 99,,Monterey
CA1400505,GLACIER LODGE,Transient non-community system,51,2,8,7,Ground water,GW,124 Mountain Rd,,Inyo
CA4010014,CAMBRIA COMM SERVICES DIST,Community water system,"6,032",16,7,19,Groundwater under influence of surface water,GU,PO Box 65,,San Luis Obispo
CA4600019,SIERRA CO. W.W.D #1 CALPINE,Community water system,225,4,58,17,Ground water,GW,P.O. Box 25,,Sierra
CA4901404,EKTIMO VINEYARDS,Transient non-community system,50,3,6,0,Ground water,GW,4950 Ross Road,,Sonoma
CA4901383,LASSETER FAMILY WINERY,Transient non-community system,75,2,0,1,Ground water,GW,1 Vintage Lane,,Sonoma
CA2700740,SAN MIGUEL WS #03,Community water system,45,1,8,9,Unknown Primary Source,,,16993 FORREST LANE,Monterey
CA5800831,BAPTIST CHRISTIAN CAMP OF CA,Transient non-community system,150,3,24,4,Ground water,GW,PO BOX 296,,Yuba
CA2701705,TASSAJARA SPRINGS WS,Community water system,150,9,33,4,Surface water,SW,39171 TASSAJARA RD,,Monterey
CA3200185,LOWER BUCKS LAKE LDS CAMP,Transient non-community system,220,4,0,4,Ground water,GW,3001 N 5th Street,,Plumas
CA1800557,MOUNTAIN VALLEY LATTER-DAY SAINTS CHURCH,Transient non-community system,110,6,0,2,Ground water,GW,3001 N 5th Street,,Lassen
CA4901162,QUIVIRA VINEYARDS,Non-Transient non-community system,108,5,15,6,Groundwater under influence of surface water,GU,4900 West Dry Creek Road,,Sonoma
CA4901253,FLOWERS WINERY,Transient non-community system,50,4,7,1,Ground water,GW,4035 Westside Road,,Sonoma
CA3600262,SNOWCREST HEIGHTS IMP ASSOC,Community water system,600,8,5,52,Ground water,GW,32 San Antonio Falls Road,,San Bernardino
CA2701144,MONTEREY BOTANICALS WS,Non-Transient non-community system,120,3,0,1,Ground water,GW,22785 FUJI LANE,,Monterey
CA1910004,GSWC - ARTESIA,Community water system,"48,150",43,2,18,Ground water,GW,"12035 BURKE ST., SUITE 1",,Los Angeles
CA1910011,"GSWC - BELL, BELL GARDENS",Community water system,"58,269",43,3,35,Surface water purchased,SWP,"12035 BURKE ST., SUITE 1",,Los Angeles
CA1910030,GSWC - CULVER CITY,Community water system,"36,364",13,1,32,Surface water purchased,SWP,"12035 BURKE ST., SUITE 1",,Los Angeles
CA1910072,GSWC - WILLOWBROOK,Community water system,"11,069",6,0,15,Surface water purchased,SWP,"12035 BURKE ST., SUITE 1",,Los Angeles
CA1910077,GSWC - FLORENCE/GRAHAM,Community water system,"66,422",42,0,14,Surface water purchased,SWP,"12035 BURKE ST., SUITE 1",,Los Angeles
CA1910098,GSWC - NORWALK,Community water system,"43,903",35,1,29,Surface water purchased,SWP,"12035 BURKE ST., SUITE 1",,Los Angeles
CA1910195,GSWC - HOLLYDALE,Community water system,"7,691",12,0,15,Ground water,GW,"12035 BURKE ST., SUITE 1",,Los Angeles
CA1100101,CARRIERE FAMILY FARMS,Non-Transient non-community system,37,2,0,3,Ground water,GW,1640 State Hwy 45,,Glenn
CA4000208,"SPEEDLING, INC",Non-Transient non-community system,35,2,5,5,Ground water,GW,1040 North Thompson Avenue,,San Luis Obispo
CA4210700,"AMERICAN WATER O&M, LLC - VAFB",Community water system,"14,971",22,8,14,Surface water purchased,SWP,339 11th Street,,Santa Barbara
CA4900568,VALLEY FORD WATER ASSOCIATION,Community water system,61,7,66,4,Ground water,GW,P.O. Box 271,,Sonoma
CA1500252,KERN VALLEY MUTUAL WATER COMPANY,Community water system,47,3,12,7,Ground water,GW,P.O. Box  3162,,Kern
CA3910803,CDCR CALIFORNIA HEALTH CARE FACILITY,Community water system,"8,455",3,0,0,Surface water purchased,SWP,7707 Austin Road,Attn: John Porras,San Joaquin
CA5601104,CASITAS MUTUAL WATER COMPANY,Community water system,238,6,12,8,Ground water,GW,8305 Edison Drive,,Ventura
CA0300022,CAMP WINTON,Transient non-community system,300,11,35,14,Ground water,GW,Boy Scouts of America-Golden Empire,P.O. BOX 13558,Amador
CA0400142,BOY SCOUTS OF AMERICA-CAMP LASSEN,Transient non-community system,150,2,8,8,Ground water,GW,Boy Scouts of America-Golden Empire,P.O. BOX 13558,Butte
CA1000126,BEARSKIN MEADOW DIABETIC YOUTH CAMP,Transient non-community system,200,4,1,6,Ground water,GW,"5167 Clayton Road, Suite F",,Fresno
CA1000611,KEN'S SHOPPING CENTER,Transient non-community system,55,3,1,2,Ground water,GW,P. O. Box 355,,Fresno
CA1105006,CALIFORNIA OLIVE RANCH,Non-Transient non-community system,50,2,0,0,Ground water,GW,265 Airpark Blvd.,Suite 200,Glenn
CA5102025,YUBA APARTMENT HOMES,Community water system,40,2,8,11,Ground water,GW,890 Richland Road,,Sutter
CA3610131,CDFA-MOUNTAIN PASS JPOE AIS,Transient non-community system,123,4,1,2,Ground water,GW,2800 gateway oaks drive,,San Bernardino
CA4300630,FOOTHILL MUTUAL WATER COMPANY,Community water system,28,4,28,7,Ground water,GW,PO Box 1613,,Santa Clara
CA2810004,"ST. HELENA, CITY OF",Community water system,"6,152",24,9,15,Surface water,SW,1405 Charter Oak,,Napa
CA3910025,LAWRENCE LIVERMORE NATIONAL LAB-SITE 300,Non-Transient non-community system,192,7,0,10,Surface water purchased,SWP,7000 East Avenue,,San Joaquin
CA1500571,KERN MOBILE ESTATES LLC,Community water system,73,4,82,12,Ground water,GW,640 S. Hill St. Suite #354,,Kern
CA4000230,CANYON CREST MUTUAL BENEFIT WC,Community water system,133,6,1,9,Ground water,GW,215 Plancha Way,,San Luis Obispo
CA2701254,CARMEL RIVIERA MWC,Community water system,584,28,33,6,Surface water,SW,PO BOX 22288,,Monterey
CA4000834,ANZA VINEYARD ESTATES MUTUAL WATER CO,Community water system,60,5,0,0,Ground water,GW,PO BOX 385,,San Luis Obispo
CA5000532,GRACE COMMUNITY CHRISTIAN CHURCH,Transient non-community system,160,2,1,5,Ground water,GW,PO Box 2707,,Stanislaus
CA5700555,BONFIRE VILLAGE HOTEL,Transient non-community system,725,3,19,13,Ground water,GW,1028 2ND ST,,Yolo
CA0900578,COYOTE DEN,Transient non-community system,34,3,11,5,Ground water,GW,936 OLD RANCH HOUSE RD,,El Dorado
CA5403211,BOOTH RANCHES LLC,Non-Transient non-community system,150,6,19,1,Ground water,GW,12201 AVENUE 480,,Tulare
CA2700964,BRADLEY UNION SCHOOL WS,Non-Transient non-community system,100,3,28,13,Ground water,GW,65600 Dixie St.,,Monterey
CA1502826,FAMOSO FUEL STOP,Transient non-community system,230,4,11,8,Ground water,GW,31988 HWY 46,,Kern
CA5401071,SILVER CITY WATER CO.,Transient non-community system,128,4,10,3,Surface water,SW,16238 ADDISON ST.,,Tulare
CA3410020,CITY OF SACRAMENTO MAIN,Community water system,"510,931",94,2,80,Surface water,SW,7501 Collegetown Drive,,Sacramento
CA5305103,MAD RIVER COMPOUND - USFS,Community water system,57,3,5,9,Ground water,GW,USDA Forest Service,741 State Hwy 36,Trinity
CA4900587,BRAND WATER COMPANY,Community water system,112,7,27,4,Ground water,GW,248 3rd Street #475,,Sonoma
CA4200802,OAK TRAIL RANCH,Community water system,105,3,4,9,Ground water,GW,4040 WEST OAK TRAIL ROAD,P.O. BOX 1056,Santa Barbara
CA4200957,VOLK VINEYARDS,Transient non-community system,35,3,0,4,Ground water,GW,5230 TEPUSQUET ROAD,,Santa Barbara
CA2900523,WASHINGTON WATER DISTRICT,Community water system,330,4,35,18,Surface water,SW,P.O. Box # 34,,Nevada
CA3510501,PINNACLES NATIONAL PARK-EAST DISTRT.,Transient non-community system,"1,800",3,3,5,Ground water,GW,5000 Hwy 146,,San Benito
CA3510502,PINNACLES NATIONAL PARK CAMPGROUND,Transient non-community system,900,6,0,3,Ground water,GW,5000 Hwy 146,,San Benito
CA3510500,PINNACLES NATIONAL PARK-WEST DISTRICT,Transient non-community system,900,6,3,7,Ground water,GW,5000 Hwy 146,,San Benito
CA1410511,NPS - MANZANAR,Transient non-community system,298,3,1,2,Ground water purchased,GWP,P.O. BOX 426,HIGHWAY 395,Inyo
CA2600607,MEADOWCLIFF LODGE & COLEVILLE/WALKER KOA,Transient non-community system,25,5,17,5,Ground water,GW,110437 Highway 395,,Mono
CA2800041,DARIOUSH WINERY,Non-Transient non-community system,25,3,4,8,Ground water,GW,4240 SILVERADO TRAIL,,Napa
CA4200876,VALLEY PACIFIC PETROLEUM SERVICES,Transient non-community system,500,5,0,18,Ground water,GW,1155 EAST BETTERAVIA ROAD,,Santa Barbara
CA1300616,PALO VERDE COUNTY WATER DIST.,Community water system,410,5,10,21,Ground water,GW,P.O. Box 185,,Imperial
CA5401084,BAKER MOUNTAIN HOUSE,Transient non-community system,60,2,8,7,Ground water,GW,P.O. BOX 128,,Tulare
CA1502213,PARADISE COVE LODGE,Transient non-community system,49,2,9,5,Ground water,GW,10700 Hwy 178,,Kern
CA4200807,WOODSTOCK RANCH,Community water system,350,13,2,8,Ground water,GW,4319 WHITE PINE LANE,,Santa Barbara
CA5400907,WHITE HORSE INN,Transient non-community system,204,4,16,8,Ground water,GW,578 Washington Blvd #766,,Tulare
CA1000619,HANDISTOP MARKET,Transient non-community system,25,2,0,1,Ground water,GW,111 E. Mountain View,,Fresno
CA5100142,NUESTRO SCHOOL,Non-Transient non-community system,120,7,19,12,Ground water,GW,3934 Broadway Rd,,Sutter
CA4200731,ALEGRIA DOMESTIC MUTUAL WATER COMPANY,Community water system,54,11,1,6,Ground water,GW,977 HOLLISTER RANCH RANCH,,Santa Barbara
CA4200678,SANTA ANITA MUTUAL WATER COMPANY,Community water system,38,5,0,10,Ground water,GW,977 HOLLISTER RANCH RANCH,,Santa Barbara
CA4200714,SAN AUGUSTINE MUTUAL WATER COMPANY,Community water system,43,6,5,9,Ground water,GW,977 HOLLISTER RANCH RANCH,,Santa Barbara
CA2900541,CHRISTIAN ENCOUNTER MINISTRIES,Community water system,35,2,15,12,Ground water,GW,17183 Retrac Way,,Nevada
CA4200891,BOBCAT SPRINGS MUTUAL WATER COMPANY,Community water system,120,11,1,10,Ground water,GW,1301 COUGAR RIDGE ROAD,,Santa Barbara
CA4200616,SKYLINE PARK,Community water system,300,4,18,9,Ground water,GW,1309 HIGHLAND ROAD,P.O. BOX 415,Santa Barbara
CA4200881,OAK TRAIL ESTATES,Community water system,210,9,3,9,Ground water,GW,3000 WOODSTOCK ROAD,,Santa Barbara
CA5601135,CAMP SCHEIDECK,Non-Transient non-community system,30,5,13,7,Ground water,GW,13675 Ojai Road,,Ventura
CA5400696,USACE - TULE RECREATION AREA,Transient non-community system,25,10,14,4,Ground water,GW,P.O. BOX 1072,,Tulare
CA0400060,HONCUT ELEMENTARY SCHOOL,Non-Transient non-community system,25,4,6,10,Ground water,GW,68 School St.,,Butte
CA2400249,LIVINGSTON PROPERTIES,Transient non-community system,91,3,6,1,Ground water,GW,2234 Nebela Court,,Merced
CA3700924,LAKE MORENA VIEWS MWC,Community water system,360,9,19,15,Ground water,GW,PO Box 396,,San Diego
